GoodID,GoodCode,Inventory quantity,Product GID,Variant GID,Inventory Item ID
43832,NVA2-112-0344-A,0,gid://shopify/Product/8645624660167,gid://shopify/ProductVariant/46281407856839,gid://shopify/InventoryItem/48401845551303
43837,COG2-136028,0,gid://shopify/Product/8645604212935,gid://shopify/ProductVariant/46281373614279,gid://shopify/InventoryItem/48401811308743
43912,PIT2-B6700610-CL,0,gid://shopify/Product/8710987088071,gid://shopify/ProductVariant/46576296755399,gid://shopify/InventoryItem/48702588027079
43913,PIT2-60055003-C,0,gid://shopify/Product/8710987120839,gid://shopify/ProductVariant/46576296788167,gid://shopify/InventoryItem/48702588059847
85303,LAC2-568101000,0,gid://shopify/Product/8643758260423,gid://shopify/ProductVariant/46276046454983,gid://shopify/InventoryItem/48396425199815
85417,PMF2-5P110003,0,gid://shopify/Product/8643890774215,gid://shopify/ProductVariant/46276246405319,gid://shopify/InventoryItem/48396626952391
87301,ROB2-MC0039,0,gid://shopify/Product/8643919839431,gid://shopify/ProductVariant/46276298899655,gid://shopify/InventoryItem/48396679446727
87554,HOB2-874781,0,gid://shopify/Product/8643733815495,gid://shopify/ProductVariant/46276010213575,gid://shopify/InventoryItem/48396388958407
87555,HOB2-874834,0,gid://shopify/Product/8643733946567,gid://shopify/ProductVariant/46276010344647,gid://shopify/InventoryItem/48396389089479
87563,HOB2-874790,0,gid://shopify/Product/8643733881031,gid://shopify/ProductVariant/46276010279111,gid://shopify/InventoryItem/48396389023943
87564,HOB2-874792,0,gid://shopify/Product/8643733913799,gid://shopify/ProductVariant/46276010311879,gid://shopify/InventoryItem/48396389056711
99038,SAN2-SP,0,gid://shopify/Product/8710987153607,gid://shopify/ProductVariant/46576297312455,gid://shopify/InventoryItem/48702588584135
99223,TBA2-A120905106,0,gid://shopify/Product/8645637472455,gid://shopify/ProductVariant/46281439051975,gid://shopify/InventoryItem/48401876746439
99224,TBA2-A150905106,0,gid://shopify/Product/8645637603527,gid://shopify/ProductVariant/46281439314119,gid://shopify/InventoryItem/48401877008583
99448,DUH2-228888,0,gid://shopify/Product/8645619155143,gid://shopify/ProductVariant/46281402056903,gid://shopify/InventoryItem/48401839751367
