GID,specs.width_mm,specs.depth_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.hz,specs.wattage,specs.ampere,specs.chiller_door_amount,specs.chiller_capacity_liter,specs.chiller_temperature,specs.refrigerant,specs.spareparts_warranty,specs.service_warranty,specs.product_of,specs.certificates
gid://shopify/Product/8646063259847,1260,860,1926,152,220,50,732,4.5,2,576,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645474353351,1900,860,1926,177,220,50,1098,5.5,4,1235,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063292615,1900,860,1926,177,220,50,1098,5.5,4,1235,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063325383,1900,860,1926,177,220,50,1098,5.5,4,1235,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063390919,1200,750,800,82,220,50,314,2.5,2,309,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472387271,1200,750,800,82,220,50,314,2.5,2,309,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063456455,1200,750,800,82,220,50,314,2.5,2,309,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063521991,1500,750,800,91,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472354503,1500,700,800,91,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472321735,1500,750,800,91,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063620295,1500,750,800,91,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063653063,1800,700,800,107,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063751367,1800,750,800,107,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063718599,1800,750,800,107,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063784135,1800,750,800,107,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063816903,900,750,800,70,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472256199,900,750,800,70,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063882439,900,750,800,70,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645502927047,1200,700,919,89,220,50,314,2.5,2,309,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645502959815,1500,700,919,100,220,50,314,2.5,2,420,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645721817287,1800,700,919,120,220,50,366,3,3,516,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645721784519,900,700,919,75,220,50,314,2.3,1,213,1°C~8°C,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063947975,1200,750,800,84,220,50,613,2.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472223431,1200,750,800,84,220,50,613,2.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646063980743,1200,750,800,84,220,50,613,2.5,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645502992583,1200,750,800,97,220,50,366,3.3,,,,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645503025351,1200,750,800,106,220,50,366,3.3,,,,R134a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645715493063,1500,750,800,107,220,50,366,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064013511,1500,750,800,93,220,50,613,3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645472190663,1500,750,800,93,220,50,613,3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064079047,1500,750,800,93,220,50,613,3,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064111815,1500,750,800,107,220,50,366,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8645497618631,1500,750,800,107,220,50,366,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064177351,1500,750,800,107,220,50,366,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
gid://shopify/Product/8646064210119,1500,750,800,116,220,50,366,4.4,,,,R404a,2 Years,1 Year,USA,"HACCP, CE, RoHS"
