Menu Handle,Menu Item Title,Menu Item Type,Menu Item URL,Parent Menu Item Title
main-menu,Bowl,collection,/collections/bowl,"Storage, Handling & Mobility"
main-menu,Caddy,collection,/collections/caddy,"Storage, Handling & Mobility"
main-menu,Cart,collection,/collections/cart,"Storage, Handling & Mobility"
main-menu,Caster Wheel,collection,/collections/caster-wheel,"Storage, Handling & Mobility"
main-menu,Container,collection,/collections/container,"Storage, Handling & Mobility"
main-menu,Drawer,collection,/collections/drawer,"Storage, Handling & Mobility"
main-menu,Drawer Rail,collection,/collections/drawer-rail,"Storage, Handling & Mobility"
main-menu,Foot,collection,/collections/foot,"Storage, Handling & Mobility"
main-menu,Frame Base,collection,/collections/frame-base,"Storage, Handling & Mobility"
main-menu,Frame Support,collection,/collections/frame-support,"Storage, Handling & Mobility"
main-menu,Handle Grip,collection,/collections/handle-grip,"Storage, Handling & Mobility"
main-menu,Leg,collection,/collections/leg,"Storage, Handling & Mobility"
main-menu,Pan,collection,/collections/pan,"Storage, Handling & Mobility"
main-menu,Platform,collection,/collections/platform,"Storage, Handling & Mobility"
main-menu,Rack,collection,/collections/rack,"Storage, Handling & Mobility"
main-menu,Roller,collection,/collections/roller,"Storage, Handling & Mobility"
main-menu,Shelf,collection,/collections/shelf,"Storage, Handling & Mobility"
main-menu,Stand,collection,/collections/stand,"Storage, Handling & Mobility"
main-menu,Storage Box,collection,/collections/storage-box,"Storage, Handling & Mobility"
main-menu,Table Stand,collection,/collections/table-stand,"Storage, Handling & Mobility"
main-menu,Tool Holder,collection,/collections/tool-holder,"Storage, Handling & Mobility"
main-menu,Tray,collection,/collections/tray,"Storage, Handling & Mobility"
main-menu,Tray Holder,collection,/collections/tray-holder,"Storage, Handling & Mobility"
main-menu,Trolley,collection,/collections/trolley,"Storage, Handling & Mobility"
main-menu,Utensil Holder,collection,/collections/utensil-holder,"Storage, Handling & Mobility"
main-menu,Wheel,collection,/collections/wheel,"Storage, Handling & Mobility"
main-menu,Wheel Stopper,collection,/collections/wheel-stopper,"Storage, Handling & Mobility"
main-menu,Table,collection,/collections/table,"Storage, Handling & Mobility"
main-menu,Access Handle,collection,/collections/access-handle,Structural & Access Components
main-menu,Access Hinge,collection,/collections/access-hinge,Structural & Access Components
main-menu,Access Panel,collection,/collections/access-panel,Structural & Access Components
main-menu,Access Plate,collection,/collections/access-plate,Structural & Access Components
main-menu,Body,collection,/collections/body,Structural & Access Components
main-menu,Case,collection,/collections/case,Structural & Access Components
main-menu,Cover,collection,/collections/cover,Structural & Access Components
main-menu,Divider Bar,collection,/collections/divider-bar,Structural & Access Components
main-menu,Door,collection,/collections/door,Structural & Access Components
main-menu,Door Lock,collection,/collections/door-lock,Structural & Access Components
main-menu,Door Seal,collection,/collections/door-seal,Structural & Access Components
main-menu,Door Spring,collection,/collections/door-spring,Structural & Access Components
main-menu,Enclosure,collection,/collections/enclosure,Structural & Access Components
main-menu,Frame Guard,collection,/collections/frame-guard,Structural & Access Components
main-menu,Grill Cover,collection,/collections/grill-cover,Structural & Access Components
main-menu,Grille,collection,/collections/grille,Structural & Access Components
main-menu,Guard,collection,/collections/guard,Structural & Access Components
main-menu,Hatch,collection,/collections/hatch,Structural & Access Components
main-menu,Housing,collection,/collections/housing,Structural & Access Components
main-menu,Insulator,collection,/collections/insulator,Structural & Access Components
main-menu,Latch,collection,/collections/latch,Structural & Access Components
main-menu,Lid,collection,/collections/lid,Structural & Access Components
main-menu,Panel,collection,/collections/panel,Structural & Access Components
main-menu,Partition,collection,/collections/partition,Structural & Access Components
main-menu,Protection,collection,/collections/protection,Structural & Access Components
main-menu,Seal Frame,collection,/collections/seal-frame,Structural & Access Components
main-menu,Trim,collection,/collections/trim,Structural & Access Components
main-menu,Vent Panel,collection,/collections/vent-panel,Structural & Access Components
main-menu,Window,collection,/collections/window,Structural & Access Components
